title,author,areaKey,areaLabel,reason,cover
Agile Estimating and Planning,Mike Cohn,Ways of Working,Ways of Working,Plan agile projects effectively with estimation techniques,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/edcvb.jpg
An Everyone Culture,Robert Kegan,business,Business Acumen,How organizations enable continuous development for all,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/evclt.jpg
Antifragile,Nassim Nicholas Taleb,business,Business Acumen,Gain from disorder and manage uncertainty effectively,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/antfl.jpg
Atomic Habits,James Clear,power,Power Skills,"Learn habit formation, personal mastery, and behavioral change",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/athbt.jpg
Blue Ocean Strategy,W. Chan Kim,business,Business Acumen,Master strategic differentiation and market creation,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/boskm.jpg
Built to Last,Jim Collins & Jerry Porras,Business Acumen,Business Acumen,Timeless habits of visionary companies,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/jkwyt.jpg
Business Model Generation,Alexander Osterwalder,business,Business Acumen,"Design, test, and innovate business models visually",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/bmgow.jpg
Co-Active Coaching,Henry Kimsey-House et al.,Power Skills,Power Skills,Practical guide to effective coaching conversations,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/aztqp.jpg
Competing for the Future,Gary Hamel & C.K. Prahalad,Business Acumen,Business Acumen,Frameworks for sustainable innovation and foresight,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/xytru.jpg
Creative Confidence,Tom Kelley,power,Power Skills,Unlock creativity and innovation mindset,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/crcfk.jpg
Crucial Conversations,Kerry Patterson,power,Power Skills,Learn to manage high-stakes discussions and build consensus,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/crlcv.jpg
Dare to Lead,Brené Brown,Power Skills,Power Skills,Embrace vulnerability and courage in leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/vcxop.jpg
Data Science for Business,Foster Provost & Tom Fawcett,Ways of Working,Ways of Working,Understand business applications of data analytics,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/cdews.jpg
Deep Work,Cal Newport,ways,Ways of Working,Enhance focus and productivity in an age of distraction,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/dpwrk.jpg
Delivering Happiness,Tony Hsieh,business,Business Acumen,Customer satisfaction and culture-driven business success,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/dlvhp.jpg
Design Thinking for Strategic Innovation,Idris Mootee,Ways of Working,Ways of Working,Apply design thinking to solve complex problems,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/bnmqw.jpg
Designing Your Life,Bill Burnett & Dave Evans,ways,Ways of Working,Apply design thinking to career and personal growth,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/dyrlf.jpg
Drive,Daniel H. Pink,power,Power Skills,Learn what motivates people and enhances leadership influence,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/drvpk.jpg
Drive to Thrive,Mark Thompson,power,Power Skills,Leadership resilience and motivation,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/drthv.jpg
Emotional Intelligence 2.0,Travis Bradberry & Jean Greaves,Power Skills,Power Skills,Improve emotional awareness and response,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ytrqs.jpg
Essential Scrum,Kenneth Rubin,Ways of Working,Ways of Working,Comprehensive guide to Scrum frameworks and roles,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/asdfg.jpg
Essentialism,Greg McKeown,ways,Ways of Working,Prioritize effort and eliminate nonessential tasks for maximum impact,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/esntm.jpg
Execution,Larry Bossidy & Ram Charan,Business Acumen,Business Acumen,Bridge the gap between strategy and results,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/poklz.jpg
Execution Excellence,Sanjay Gupta,business,Business Acumen,Focus on operational discipline and business execution,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/exexl.jpg
Extreme Ownership,Jocko Willink,power,Power Skills,Leadership lessons from Navy SEALs on accountability,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/exown.jpg
